,,,,,,,,,cm,,Month/day/year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,μg C/g soil,umol/g soil or nmol/g soil/hr,,ug NH4-N/g soil        ,Scale 0-14,μg C/g soil,%,,,,,,g/cc,%,,,%,ugN/g soil,,,μg N/g soil,Ratio,,ug NH4-N/g soil,,Status,Project links,Timestamp,,,,,,,,,,,,,,,,,,,,,,decimal degrees,decimal degrees
1615,Client Projects,,cowpea,,Own,2023-0403,2017-10,008-0023-2018-0313,0,15,09/05/2024,Maui,,372.45,Orchard,1970-2019,Pineapple or sugarcane plantation,,Unmanaged/abandoned,#N/A,,,,,Lot 16 control 4,200,Nothing/bare fallow,No change,Synthetic blend,250-500 lb/ac/yr,,,,,,,,,None,other,No,Yes,None,Weeds,Fraternidad,,,Pasture,None,,Inceptisol,Endoaquept/Palehumolt,Torrox,PNCM,,16.67,582.367,35.63,34.35,53.41,6.45,266.9,66.9,12.98013742,0.51,0.91,,0.29,,,3.18,0.50,0.18,#N/A,,15.95,30.89,18.08045977,#N/A,17.99,,Done,,7.7,,10/15/2024,,,,1085,462,,,53,,5.44,,,,,,,,,,19.644604,-158.867078
602,CIG-2020,Baseline,,,Lease,570,2017-11,011-0084-2024-0041,0,,2025-04-25 00:00:00,Kauai,,1 ac,Orchard,2000-2023,,1980-2019,1880-2001,,,,,,P6-cover crop-crotalaria,,Commercial veg/fruits,Commercial veg/fruits,None,"1,000 lb/ac/yr - 1 ton/ac/yr",,,,,,#VALUE!,,,None,More than twice,Yes,Yes,,Bare soil,Ewa,,,Pasture,PIAL,high,Inceptisol,Palehumult,Ustox,HAC,,8.36,122.941,21.51,10.44,2.12,5.87,212,,,0.58,0.97,0.22,0.48,,,#N/A,,0.18,52.9,11.3535024,#N/A,,12.76470588,12.91,7.79,,Done,16.95,7/10/2024,scoring_function_noPIALv2,10/15/2024,,,,,,17,,,,,,,,,,,,,11_CIG_OnFarmTrials/CIG_HSH_SoilHealthDataAnalysis_ ANDIC_(PNCM_HIST).xlsx,22.094622,-155.007289
198,HICSC,,,,,2025-0032,2017-12,001-0007-2017-0032,0,15,12/12/17,Oahu,,4.1,Unmanaged/abandoned ag land,1990-2019,Unmanaged/abandoned ag land,#N/A,,1904-1994,,,,1995-2014,57,SITE 4 A,Row crop monoculture,Row crop monoculture,,,,rate given by manager 1 lb/ tree/ year,Lime,,,,,,,,none,,None,"Mulch (woodchip, leaf litter, other organic material) & weeds",Lualualei,,,Unmanaged forest,PIAL,,Histosol,Gypitorrert,Ustox,HAC,,5.1,,56.80219467,,87.69,,,114.43,38.21,#N/A,0.49,,0.87,1.09,74.66,1.00,#N/A,1.03,#N/A,#N/A,#N/A,441.17,9.05,11.22709368,2.08,,,,7/8/2024,0.14,,346,,,,,,1.04,,,,,,,,,,,,,21.678558,-160.029843
1345,Department of Health,Baseline,,,Lease,2023-0138,2017-13,011-0049-2023-0245,0,15,12/14/2022,Big Island,,10 acres,Mal,2019-Current,,1994-2013,,1904-1994,,,,,155,13,,Forage,None,,,,,,,,,,None,,Yes,No,Sprinkle,"Mulch (woodchip, leaf litter, other organic material)",Dandan,,,UPIAL,None,,Ultisol,,Ustoll,LAC,,1.3,96.212,72.64,88.21,30.40,7.03,413.67,,1.49,#N/A,0.15,0.91,0.19,,#N/A,#N/A,#N/A,0.10,#N/A,#N/A,50.12,27.26,13.86363636,#N/A,14.72,,Done,,,scoring_function_noPIALv2,10/15/2024,,,2436,,,,,#N/A,,,,,,,,,,72,,21.527469,-154.870165
1991,SSH,Baseline,,,,SH-WRS-61,2017-14,016-0091-2022-0180,0,15,09/30/2021,Maui,,23,Orchard,,,1986-2022,Pineapple or sugarcane plantation,,,,,,Hema,5,Unmanaged forest,Forage | Unmanaged forest,Synthetic blend,,,,,#VALUE!,,#VALUE!,,#VALUE!,None,Twice yearly,Yes,Yes,None,Bare soil,La Luna,,,Unmanaged forest,PIAL,,Mollisol,,Perox,HAC,,9.23,13.942,17.71,,6.88,7,,123.22,16.49,0.46,,0.58,0.02,,,#N/A,#N/A,0.15,35.49,#N/A,#N/A,215.59,15.87155963,4.88,0.55,,Done,#N/A,3/9/2022,0.31,10/15/2024,134,60,,,,,,,,,,832,,,3.5,,,18,,20.893789,-159.087880
726,CIG-2020,,,,Own,2024-0021,2017-15,,5,15,12/13/2023,Puerto Rico,,5,Unmanaged forest,2021-current,Unmanaged forest,1994-2013,Cropland,____-1972,Unmanaged/abandoned,,,1995-2014,16,,Agroforestry,Forage,Compost,,,,,,,,,,None,N/A,,Yes,,Weeds,Lualualei,,,Agroforestry,None,,Vertisol,Hydrudand,Humult,HAC,,8.52,124.84,67.55,8.25,,7.85,223.00,67.41,,0.62,0.51,0.49,,,#N/A,#N/A,#N/A,0.07,#N/A,,0.49,,,14.01,2.49,,Done,,5.5,scoring_function_noPIALv2,10/15/2024,,,,,,50,#N/A,,241,,,,,,,,,,,20.905610,-159.540315
1614,ORCD,Round 1,,,Lease,2024-0505,2017-16,007-0022-2021-0491,0,,11-04-18,Oahu,,27,Cropland,2005-2021,Unmanaged/abandoned,2014-2022,Pineapple or sugarcane plantation,,,NA,,,Moloa'a plotA sample 1,2,Unmanaged forest,Commercial veg/fruits,None,"1,000 lb/ac/yr - 1 ton/ac/yr",,,,,,,,,Spader,n/a,No,,None,Bare soil,Lolekaa,,,Conventional cropland,Yes,,Oxisol,Gypitorrert,,PNCM,,8.36,41.14,88.64,70.49,165.15,4.64,416,79.75,0.75,,0.62,0.41,0.44,1.15,75.78216745,#N/A,,0.65,#N/A,#N/A,14.58,1213.73,5.285714286,8.463503816,29.84,,,,3/9/2022,scoring_function_noPIALv2,7,,,,,,283,,91,142,,,,,,,,,,,19.264877,-155.614291
1972,CIG-2020,WSARE-2019,,,Lease,2022-0187,2017-17,011-0001-2021-0664,0,,03/31/2023,Oahu,,2,Orchard,1975-2024,Protected forest,,Pasture,#N/A,Unmanaged/abandoned,NA,,,Cowpea 3,0.046 acres,Nothing/bare fallow,No Change,None,,,,,,,,,,None,More than twice,Yes,No,None,,La Luna,,,Organic cropland,,,Andisol,Gypitorrert,Torrert,HAC,,1.25,43.07,22.18,26.73,3.06,7.63,177,62.52,0.51,0.93,,#N/A,#N/A,,54.82733945,,#N/A,0.22,#N/A,#N/A,3.50,308.89,13.86725664,#N/A,2.40,,Done,37.19,7/9/2024,,21,,160,2232,,,,,,,,,#N/A,,,,,,,,20.292095,-158.104878
1021,AFRI-Puerto Rico,,,,Own,SH-WRS-64,2017-18,011-0022-2023-0029,0,15,10/30/2024,Oahu,,128,Cropland,1997-2024,Pineapple or sugarcane plantation,#N/A,#N/A,1940s,,,,,Evan Ryan Plot 1 Sample 2,,Forage,Commercial veg/fruits,Synthetic blend,,,,,,,,,,Disc,Other,,,drip irrigation,"Mulch (woodchip, leaf litter, other organic material)",Makiki,,,Organic,PIAL,,Inceptisol,Acrudox,Ustoll,HAC,,6.86,233.05,51.14,125.42,142.25,,,,2.25,0.04,,#N/A,#N/A,1.37,21.19003067,13.36,3.00,0.19,80.88,#N/A,#N/A,19.61,10.29487179,#N/A,20.45,,Done,,,,10/15/2024,,,2799,,,30,,49,,,,,,,,,529,,,19.243842,-154.803999
1303,HICSC,Carbon Smart Puu o Hoku 1,,,Own,2023-0311,2017-19,024-0263-2023-0479,0,15,9/23/2019,Puerto Rico,,19,Managed forest,,Unmanaged/abandoned,1900/1920-2002,,,,NA,,,Crop rotation,0.044,Dryland root crops,Other | Weeds/Unmanaged,None,,,,,,,,,,None,More than twice,No,Yes,,Bare soil,Hilo,,,Managed forest,None,,Andisol,Haplustoll,Folist,HAC,,9.07,54.78,53.18,22.73,4.84,,714.19,193.5,90.55657143,#N/A,0.62,0.52,0.52,,,2.65,,0.54,#N/A,,#N/A,65.94,12.78807947,#N/A,30.18,,Done,https://docs.google.com/spreadsheets/d/1v-gX-zrJah2fKYf8qvFhXk_jvuS8YSDcctUnHklNBGU/edit#gid=364531522,6.9,0.35,,,,,,,#N/A,,,,,,,,,,,,,,21.484332,-155.773278
916,CIG-2020,,,,Other,SH-WRS-59,2017-20,010-0303-2024-0367,0,15,08/29/2022,Puerto Rico,,,Cropland,80 yr,Cropland,,Pineapple or sugarcane plantation,1889-1949,,,,,Puu O Hoku Sample 1,5,Commercial veg/fruits,Forage,Synthetic blend,,,,,,,,,,,N/A,Yes,No,None,Plastic Mulch,Molokai,,,,PIAL,,Inceptisol,Haplustoll,Torrox,,,,59.86,,52.9,20.22,6.4,261,109.25,3.86,0.02,0.22,0.95,#N/A,0.99,,#N/A,0.00,0.41,#N/A,#N/A,,,,#N/A,7.69,,Done,31.54,,#N/A,10/15/2024,,,,2788,,#N/A,,,,,,,,,,,,,,22.085736,-160.243369
710,Magoon,Round 1,,,Own,2023-0173,2017-21,007-0022-2019-0203,0,15,06/19/2023,Big Island,,,Cropland,2006-present,No Change,,,#N/A,,,,,Corn to diversified row crops,,Agroforestry,Commercial veg/fruits,Synthetic blend,"500-1,000 lb/ac/yr",,,,,,,,,None,Yearly,No,Yes,None,Living mulch,Wahiawa,,,Agroforestry,PIAL,,Oxisol,Gypitorrert,Humult,HAC,,12.08,39.855,72.6346656,81.764123,28.68,6.76,137,69.24,49.38,0.64,0.02,0.58,0.47,79.06,#N/A,#N/A,#N/A,0.6,116.01,#N/A,#N/A,64.24,12.09090909,59.48582013,,,Done,,7,scoring_function_noPIALv2,,151,,,,365,30,0.45,,584,,,,,,,,,,,19.043322,-158.453914
1133,CIG-2020,WSARE-2026,,,,2023-0034,2017-22,012-0109-2022-0208,0,15,09/15/2022,Big Island,,1,Unmanaged forest,2 years,2019-,#N/A,Pineapple or sugarcane plantation,1976-2016,,,,,83,.026 acres,Commercial veg/fruits,,,,,#VALUE!,,,,#VALUE!,,#VALUE!,Disc,More than twice,No,Yes,Sprinkle,Weeds,Kaipoioi,,,Conventional cropland,PIAL,,Inceptisol,Acroperox,,LAC,,0.85,53.345,21.17,14.11,68.53,5.91,663.74,116.27,2.372079375,0.27,0.72,,0.86,0.82,40.73253701,#N/A,0.75,0.10,,#N/A,#N/A,88.45,7.095238095,#N/A,-1.49,,Done,,7.1,1.07,10/15/2024,,158,,1383,,,,,,#N/A,,801,,,,,,,,20.998898,-159.396596
37,SSH,Round 1,,,,2022-0132,2017-23,011-0011-2024-0019,0,15,6/29/2022,Kauai,,7,Cropland,2006- present,1949-,,,,,NA,,,103,5.8,Unmanaged forest,Weeds/Unmanaged,None,"500-1,000 lb/ac/yr",,,,,,,,,Chisel,,No,No,None,,Wahiawa,,,Organic cropland,PIAL,,Ultisol,Dystrudept,Torrert,LAC,,1.58,121.725,31.10676089,7.93,3.77,6.57,503.51,97.54,20.07534582,0.28,0.62,0.04,#N/A,,,#N/A,#N/A,0.09,40.55,#N/A,12.9475217,,,#N/A,30.89,,Done,https://docs.google.com/spreadsheets/d/1Np0Y3iAEhm6-GNKOSwj9RX2QTLV2pPRinpDexcJ18vM/edit#gid=1076234654,,scoring_function_noPIALv2,10/15/2024,267,13,,,446,,0.95,86,,,,#N/A,,,,,,,,19.447685,-155.547301
1085,HARC,,,,Own,2022-0119,2017-24,024-0234-2023-0451,0,15,6/20/19,Big Island,,5,Pasture,1800's - 2022,Cropland,,Pineapple or sugarcane plantation,,,,,,Ulupalakua Ranch Plot 2 Sample 3,0.11 ac,Weeds/Unmanaged,Grass/weeds/unmanaged,None,#VALUE!,,,,,,,,,None,,No,No,,Bare soil,Kamaole,,,Agroforestry,PIAL,,Mollisol,Haplustox,Ustand,HAC,,,13.267,98.82,,139.22,6.82,22.2,98.84,0.56,0.77,0.80,0.56,0.41,0.74,39.04,#N/A,0.50,0.18,#N/A,,#N/A,25.03,14.41,14.81465144,10.55,,,https://docs.google.com/spreadsheets/d/1hHnR16Pm-SD0TlAZSCGVcxEi1iMQjoB3UhMNWIC99hI/edit?usp=sharing,,scoring_function_noPIALv2,#N/A,224,31,,,,,,#N/A,,5.37,,,,,,,,,23_Long-Term Agroforestry Research/LTAR_HSH_SoilHealthDataAnalysis_NON-ANDIC_(LAC_HAC).xlsx,20.975985,-155.902343
1642,ORCD,Baseline,,,Lease,2023-0063,2017-25,011-0082-2023-0290,0,15,10/12/2023,Kauai,,6,crop land,2000-2021,2019-,#N/A,,,,,,,P2,,Commercial veg/fruits,,Synthetic blend,,,,,,,,,,None,N/A,No,Yes,drip irrigation,Bare soil,Lolekaa,,,Conventional cropland,,,Mollisol,Acroperox,Udand,HIST,,22.56,,,,126.67,,209,126.19,48.88,0.46,0.16,0.14,0.81,,48.1119,#N/A,0.50,,#N/A,#N/A,#N/A,165.9,12.75531915,#N/A,24.52,#REF!,,25.91,3/9/2022,scoring_function_noPIALv2,,,21,,,,20,,,,,6.79,580,,,,,,,,20.308792,-155.559912
,Kākoʻo ʻŌiwi,,,,Other,2024-0345,2017-26,016-0068-2022-0046,0,15,12/08/2023,Oahu,,536.69,Cropland,2008-2022,Cropland,2019-1999,#N/A,#N/A,,,,,162,0.25,Agroforestry,Weeds/Unmanaged,None,"500-1,000 lb/ac/yr",,,,,,#VALUE!,,,Disc,More than twice,No,Yes,Surface Drip,Plastic Mulch,Pulehu,,,Conventional cropland,PIAL,,Mollisol,,Ustand,Sand,,4.06,72.111,90.46,,-5.48,7.71,277.24,,1.33,0.19,0.77,0.45,0.04,,#N/A,#N/A,,,66.17,#N/A,#N/A,24.97,11.22891566,,0.09,,,,3/9/2022,0.44,10/15/2024,,,,,,,,,,,3.34,,,,,,,,,21.447880,-157.115672
86,HARC,,,,Other,304,2017-27,024-0239-2023-0455,0,15,2025-05-16 00:00:00,Puerto Rico,,,Protected forest,>3 yrs,No Change,1994-2013,#N/A,#N/A,,,,,Avocado,0.25,Agroforestry,Grass/weeds/unmanaged,None,,,,,#VALUE!,,,,,Roto,,Yes,No,Surface Drip,Weed Mat,Wahiawa,,,Does not apply,PIAL,,Andisol,Haplustert,,LAC,,1.86,458.47,80.49,14.95,,8.54,178,73.86,,0.56,0.87,0.32,,,,,1.00,0.11,,,14.45,,,#DIV/0!,3.72,,Done,https://docs.google.com/spreadsheets/d/1vLahl-Zrg3l4zW2P4mJ5R681o6WIAZl2fB0l5l58x-s/edit#gid=1076234646,7/9/2024,scoring_function_noPIALv2,10/15/2024,,88,#N/A,,,38,0.95,,,,,,,,#N/A,,,,,21.620206,-159.994168
,CIG-2020,Round 1,,,Own,2024-0389,2017-28,017-0136-2023-0121,0,15,3/12/2025,Oahu,,0.49,Pasture,2023-2024,Cropland,#N/A,Unmanaged/abandoned,#N/A,,,,,Kanalani plot Blue sample 1,,Commercial veg/fruits,,None,,,,,,,,,,None,More than twice,Yes,No,Surface Drip,Bare soil,La Luna,,,Protected forest,PIAL,,Mollisol,Endoaquept/Palehumolt,Torrert,HAC,,11.98,47.1224,56.91075157,27.91,68.18,5.73,1542.614781,236.41,21.23,0.37,#N/A,0.29,0.14,0.67,16.81641293,0.00,#N/A,0.32,#N/A,0.3166123779,12.19,114.80,13.95,#N/A,2.84,,Done,https://docs.google.com/spreadsheets/d/1mbsSvGN-fV4Rjyqmd69ggP6rynjHo791QXFY_TbftcA/edit#gid=2114689344,#N/A,scoring_function_noPIALv2,10/15/2024,,,,,,,,,,10.73,,,,,,#REF!,,,,22.149337,-156.857161
1865,Kākoʻo ʻŌiwi,,,,Other,279,2017-29,023-0278-2024-0031,0,15,3/8/18,Oahu,,,Cropland,2022,Cropland,,#N/A,1889-1949,Cropland,,,,10,0.15,Protected forest,,None,0-250 lb/ac/yr,,,,,,,,,None,n/a,Yes,Yes,None,,Helemano,,,Conventional,None,,Vertisol,Gypitorrert,Ustox,HAC,,1.89,59.911,59.23,,2.24,6.55,,70.76,10.86,0.78,0.99,0.94,,,,#N/A,,0.35,#N/A,#N/A,#N/A,239,,#N/A,13.43,,Done,#N/A,7/10/2024,0.34,9,,,,2657,,,,81,243,3.51,5.65,,,< 0.5,,,,,,22.050472,-156.152076
1952,CIG-2020,,,,Own,2021-0688,2017-30,008-0023-2020-0368,0,20,11-21-20,Puerto Rico,,5,Cropland,2004-2024,2019-,,#N/A,#N/A,,,,,Plot 9 compost 1,,Managed forest | Mixed | Weeds/Unmanaged,,,,Fish meal,,,,,#VALUE!,,#VALUE!,Disc,More than twice,No,Yes,None,Plastic Mulch,Lualualei,,,Conventional cropland,,,Vertisol,,Ustand,LAC,,2.04,19.94,,12.39,,7.93,1872.46,81.04,64.65,0.90,0.31,#N/A,,,#N/A,4.17,,0.41,#N/A,,36.17,66.92,14.82432432,,0,,Done,https://docs.google.com/spreadsheets/d/1kM4T-4vxg8TwhkLu4saUhof40IarnAsI-Zo0hsNQQxQ/edit#gid=900287837,,0.19,10/15/2024,,,#N/A,1099,,25,,69,,,,,,,,,,,23_Long-Term Agroforestry Research/LTAR_HSH_SoilHealthDataAnalysis_NON-ANDIC_(LAC_HAC).xlsx,21.431925,-156.713189
1107,Mark Thorne,Round 2,,,,2023-0052,2017-31,008-0204-2023-0318,0,15,6/20/2024,Oahu,,120,Agroforestry,indigenous,,,,,,,,,Plot 3,2.5 acres,Agroforestry,Protected forest,Bone/blood meal,n/a,,,,,,,,#VALUE!,,Other,No,Yes,Surface Drip,,Lolekaa,,,Organic,None,,Entisol,Palehumult,,LAC,,3.74,61.007,61.36,59.87,18.24,5.96,1382,142.37,29.38577782,0.60,0.14,0.32,#N/A,115.46,,0.00,#N/A,,95.61,#N/A,51.42,,14.12121212,6.781855245,34.11,,,https://docs.google.com/spreadsheets/d/1mbsSvGN-fV4Rjyqmd69ggP6rynjHo791QXFY_TbftcA/edit?usp=sharing,10/4/2023,scoring_function_noPIALv2,,,,,,328,,#N/A,,,4.01,,,5.78,,,,,,23_Long-Term Agroforestry Research/LTAR_HSH_SoilHealthDataAnalysis_NON-ANDIC_(LAC_HAC).xlsx,21.134087,-156.274996
