Intake_number,primary_project,secondary_project,tertiary_project,sampling_round,land_ownership,old_SH_1,SH_1,barcode,depth_top,depth_bottom,date_sampled,island,site_name,treatment,site_number,current_land_use,years_under_current_land_use,most_previous_land_use,years_under_most_previous _land_use,additional_previous _land_use,years_under_additional_previous _land_use,additional_previous_land_use_2,years_under_additional_previous_land_use_2,additional_previous_land_use_3,years_under_additional_previous_land_use_3,plot_name,plot_area,current_plant_cover,previous_crop_cover,fertilizer_type_1,fertilizer_rate_1,fertilizer_type_2,fertilizer_rate_2,fertilizer_type_3,fertilizer_rate_3,fertilizer_type_4,fertilizer_rate_4,fertilizer_type_5,fertilizer_rate_5,tillage,tillage_frequency,herbicide,pesticide,irrigation_type,additional_soil_cover,soil_series,latitude,longitude,mean_annual_precip,mean_annual_temp,management_category,PIAL_none,dist_level,order,great_group,suborder,minerals,texture,toc,co2_burst,beta_glucosidase,beta_glucosaminidase,pmn,ph,hwec,whc,wsa_mega,v2_shs_cdf,v2_shs_raw,v2_factor1_cdf,v2_factor1_raw,v2_factor2_cdf,v2_factor2_raw,v2_factor3_cdf,v2_factor3_raw,v4_shs_cdf,v4_shs_raw,v4_factor1_cdf,v4_factor1_raw,v4_factor2_cdf,v4_factor2_raw,v4_factor3_cdf,v4_factor3_raw,bd,wsa_macro,weight_of_rocks_>2mm,volume_of_rocks_>2mm_mL,tn,tdn,din,don,hwen,c_n,doc_don,ammonium,assessment,status,hyperlinks,Last updated
900011,Synthetic Agroforestry Time Series,Demonstration Block,Tree Crop Transition,Timepoint 3,Synthetic,SYN-OLD-0011,SYN-0011,SYN-01-03-03-0011,0,15,2026-07-15,Oahu,Synthetic North Shore Learning Farm,Control,SYN-NS-01,Agroforestry,3,Cropland,10,,,,,,,AF-03,100,Annual vegetable strip,Synthetic baseline cover,None,0,,,,,,,,,None,None,No,No,Drip,Living cover,Synthetic Waialua,21.588400,-158.106400,920.0,23.5,Mixed conventional and organic cropland,None,,Mollisol,Haplustoll,Ustoll,HAC,Clay loam,3.260,216.000,76.700,29.200,43.300,6.210,455.000,51.700,27.000,0.490000,-0.160,0.510000,-0.150,0.475000,-0.110,0.460000,-0.430,0.527000,-0.090,0.545000,-0.060,0.515000,-0.040,0.502000,-0.340,1.095,44.000,1.000,1.980,0.215,26.700,6.300,19.900,35.700,11.550,20.400,4.250,Synthetic example,Synthetic,,2026-07-09
900012,Synthetic Agroforestry Time Series,Demonstration Block,Tree Crop Transition,Timepoint 4,Synthetic,SYN-OLD-0012,SYN-0012,SYN-01-03-04-0012,0,15,2026-10-15,Oahu,Synthetic North Shore Learning Farm,Control,SYN-NS-01,Agroforestry,4,Cropland,10,,,,,,,AF-03,100,Annual vegetable strip,Synthetic baseline cover,None,0,,,,,,,,,None,None,No,No,Drip,Living cover,Synthetic Waialua,21.588400,-158.106400,920.0,23.5,Mixed conventional and organic cropland,None,,Mollisol,Haplustoll,Ustoll,HAC,Clay loam,3.440,227.000,79.900,30.700,45.300,6.240,473.000,52.800,28.400,0.525000,-0.070,0.545000,-0.070,0.510000,-0.040,0.495000,-0.370,0.567000,0.010,0.585000,0.030,0.555000,0.040,0.542000,-0.270,1.085,45.200,1.040,2.060,0.225,27.800,6.600,20.700,36.900,11.500,20.600,4.400,Synthetic example,Synthetic,,2026-07-09
900013,Synthetic Cover Crop Time Series,Cover Crop Rotation,Legume Grass Mix,Timepoint 1,Synthetic,SYN-OLD-0013,SYN-0013,SYN-02-01-01-0013,0,15,2026-02-20,Hawaii,Synthetic Kona Rotation Trial,Cover crop mix replicate 1,SYN-KO-02,Cropland,1,Unmanaged/abandoned,10,,,,,,,CC-A1,100,Cover crop,Synthetic baseline cover,None,0,,,,,,,,,Reduced,Annual,No,No,Drip,Living cover,Synthetic Kealakekua,19.502800,-155.916800,1320.0,22.1,Organic cropland,None,,Andisol,Hydrudand,Udand,LAC,Silty clay loam,3.070,207.000,73.900,28.400,43.100,6.270,440.000,51.900,26.000,0.450000,-0.220,0.470000,-0.200,0.435000,-0.170,0.420000,-0.460,0.474000,-0.180,0.492000,-0.120,0.462000,-0.130,0.449000,-0.380,1.125,44.000,1.000,1.960,0.215,25.900,6.100,19.300,35.900,11.850,20.800,4.250,Synthetic example,Synthetic,,2026-07-09
900014,Synthetic Cover Crop Time Series,Cover Crop Rotation,Legume Grass Mix,Timepoint 2,Synthetic,SYN-OLD-0014,SYN-0014,SYN-02-01-02-0014,0,15,2026-06-20,Hawaii,Synthetic Kona Rotation Trial,Cover crop mix replicate 1,SYN-KO-02,Cropland,2,Unmanaged/abandoned,10,,,,,,,CC-A1,100,Cover crop,Synthetic baseline cover,None,0,,,,,,,,,Reduced,Annual,No,No,Drip,Living cover,Synthetic Kealakekua,19.502800,-155.916800,1320.0,22.1,Organic cropland,None,,Andisol,Hydrudand,Udand,LAC,Silty clay loam,3.250,218.000,77.100,29.900,45.100,6.300,458.000,53.000,27.400,0.485000,-0.130,0.505000,-0.120,0.470000,-0.100,0.455000,-0.400,0.514000,-0.080,0.532000,-0.030,0.502000,-0.050,0.489000,-0.310,1.115,45.200,1.040,2.040,0.225,27.000,6.400,20.100,37.100,11.800,21.000,4.400,Synthetic example,Synthetic,,2026-07-09
900015,Synthetic Cover Crop Time Series,Cover Crop Rotation,Legume Grass Mix,Timepoint 3,Synthetic,SYN-OLD-0015,SYN-0015,SYN-02-01-03-0015,0,15,2026-10-20,Hawaii,Synthetic Kona Rotation Trial,Cover crop mix replicate 1,SYN-KO-02,Cropland,3,Unmanaged/abandoned,10,,,,,,,CC-A1,100,Cover crop,Synthetic baseline cover,None,0,,,,,,,,,Reduced,Annual,No,No,Drip,Living cover,Synthetic Kealakekua,19.502800,-155.916800,1320.0,22.1,Organic cropland,None,,Andisol,Hydrudand,Udand,LAC,Silty clay loam,3.430,229.000,80.300,31.400,47.100,6.330,476.000,54.100,28.800,0.520000,-0.040,0.540000,-0.040,0.505000,-0.030,0.490000,-0.340,0.554000,0.020,0.572000,0.060,0.542000,0.030,0.529000,-0.240,1.105,46.400,1.080,2.120,0.235,28.100,6.700,20.900,38.300,11.750,21.200,4.550,Synthetic example,Synthetic,,2026-07-09
900016,Synthetic Cover Crop Time Series,Cover Crop Rotation,Legume Grass Mix,Timepoint 1,Synthetic,SYN-OLD-0016,SYN-0016,SYN-02-02-01-0016,0,15,2026-02-20,Hawaii,Synthetic Kona Rotation Trial,Cover crop mix replicate 2,SYN-KO-02,Cropland,1,Unmanaged/abandoned,10,,,,,,,CC-A2,100,Cover crop,Synthetic baseline cover,None,0,,,,,,,,,Reduced,Annual,No,No,Drip,Living cover,Synthetic Kealakekua,19.503600,-155.917600,1320.0,22.1,Organic cropland,None,,Andisol,Hydrudand,Udand,LAC,Silty clay loam,3.160,213.000,75.600,29.300,44.200,6.310,452.000,52.700,26.600,0.465000,-0.190,0.485000,-0.180,0.450000,-0.150,0.435000,-0.440,0.488000,-0.150,0.506000,-0.100,0.476000,-0.110,0.463000,-0.360,1.140,44.800,1.060,2.040,0.220,26.700,6.300,19.800,36.600,11.950,21.000,4.350,Synthetic example,Synthetic,,2026-07-09
900017,Synthetic Cover Crop Time Series,Cover Crop Rotation,Legume Grass Mix,Timepoint 2,Synthetic,SYN-OLD-0017,SYN-0017,SYN-02-02-02-0017,0,15,2026-06-20,Hawaii,Synthetic Kona Rotation Trial,Cover crop mix replicate 2,SYN-KO-02,Cropland,2,Unmanaged/abandoned,10,,,,,,,CC-A2,100,Cover crop,Synthetic baseline cover,None,0,,,,,,,,,Reduced,Annual,No,No,Drip,Living cover,Synthetic Kealakekua,19.503600,-155.917600,1320.0,22.1,Organic cropland,None,,Andisol,Hydrudand,Udand,LAC,Silty clay loam,3.340,224.000,78.800,30.800,46.200,6.340,470.000,53.800,28.000,0.500000,-0.100,0.520000,-0.100,0.485000,-0.080,0.470000,-0.380,0.528000,-0.050,0.546000,-0.010,0.516000,-0.030,0.503000,-0.290,1.130,46.000,1.100,2.120,0.230,27.800,6.600,20.600,37.800,11.900,21.200,4.500,Synthetic example,Synthetic,,2026-07-09
900018,Synthetic Cover Crop Time Series,Cover Crop Rotation,Legume Grass Mix,Timepoint 3,Synthetic,SYN-OLD-0018,SYN-0018,SYN-02-02-03-0018,0,15,2026-10-20,Hawaii,Synthetic Kona Rotation Trial,Cover crop mix replicate 2,SYN-KO-02,Cropland,3,Unmanaged/abandoned,10,,,,,,,CC-A2,100,Cover crop,Synthetic baseline cover,None,0,,,,,,,,,Reduced,Annual,No,No,Drip,Living cover,Synthetic Kealakekua,19.503600,-155.917600,1320.0,22.1,Organic cropland,None,,Andisol,Hydrudand,Udand,LAC,Silty clay loam,3.520,235.000,82.000,32.300,48.200,6.370,488.000,54.900,29.400,0.535000,-0.010,0.555000,-0.020,0.520000,-0.010,0.505000,-0.320,0.568000,0.050,0.586000,0.080,0.556000,0.050,0.543000,-0.220,1.120,47.200,1.140,2.200,0.240,28.900,6.900,21.400,39.000,11.850,21.400,4.650,Synthetic example,Synthetic,,2026-07-09
900019,Synthetic Cover Crop Time Series,Cover Crop Rotation,Legume Grass Mix,Timepoint 1,Synthetic,SYN-OLD-0019,SYN-0019,SYN-02-03-01-0019,0,15,2026-02-20,Hawaii,Synthetic Kona Rotation Trial,Cover crop mix replicate 3,SYN-KO-02,Cropland,1,Unmanaged/abandoned,10,,,,,,,CC-A3,100,Cover crop,Synthetic baseline cover,None,0,,,,,,,,,Reduced,Annual,No,No,Drip,Living cover,Synthetic Kealakekua,19.504400,-155.918400,1320.0,22.1,Organic cropland,None,,Andisol,Hydrudand,Udand,LAC,Silty clay loam,3.250,219.000,77.300,30.200,45.300,6.350,464.000,53.500,27.200,0.480000,-0.160,0.500000,-0.160,0.465000,-0.130,0.450000,-0.420,0.502000,-0.120,0.520000,-0.080,0.490000,-0.090,0.477000,-0.340,1.155,45.600,1.120,2.120,0.225,27.500,6.500,20.300,37.300,12.050,21.200,4.450,Synthetic example,Synthetic,,2026-07-09
900020,Synthetic Cover Crop Time Series,Cover Crop Rotation,Legume Grass Mix,Timepoint 2,Synthetic,SYN-OLD-0020,SYN-0020,SYN-02-03-02-0020,0,15,2026-06-20,Hawaii,Synthetic Kona Rotation Trial,Cover crop mix replicate 3,SYN-KO-02,Cropland,2,Unmanaged/abandoned,10,,,,,,,CC-A3,100,Cover crop,Synthetic baseline cover,None,0,,,,,,,,,Reduced,Annual,No,No,Drip,Living cover,Synthetic Kealakekua,19.504400,-155.918400,1320.0,22.1,Organic cropland,None,,Andisol,Hydrudand,Udand,LAC,Silty clay loam,3.430,230.000,80.500,31.700,47.300,6.380,482.000,54.600,28.600,0.515000,-0.070,0.535000,-0.080,0.500000,-0.060,0.485000,-0.360,0.542000,-0.020,0.560000,0.010,0.530000,-0.010,0.517000,-0.270,1.145,46.800,1.160,2.200,0.235,28.600,6.800,21.100,38.500,12.000,21.400,4.600,Synthetic example,Synthetic,,2026-07-09
900021,Synthetic Cover Crop Time Series,Cover Crop Rotation,Legume Grass Mix,Timepoint 3,Synthetic,SYN-OLD-0021,SYN-0021,SYN-02-03-03-0021,0,15,2026-10-20,Hawaii,Synthetic Kona Rotation Trial,Cover crop mix replicate 3,SYN-KO-02,Cropland,3,Unmanaged/abandoned,10,,,,,,,CC-A3,100,Cover crop,Synthetic baseline cover,None,0,,,,,,,,,Reduced,Annual,No,No,Drip,Living cover,Synthetic Kealakekua,19.504400,-155.918400,1320.0,22.1,Organic cropland,None,,Andisol,Hydrudand,Udand,LAC,Silty clay loam,3.610,241.000,83.700,33.200,49.300,6.410,500.000,55.700,30.000,0.550000,0.020,0.570000,0.000,0.535000,0.010,0.520000,-0.300,0.582000,0.080,0.600000,0.100,0.570000,0.070,0.557000,-0.200,1.135,48.000,1.200,2.280,0.245,29.700,7.100,21.900,39.700,11.950,21.600,4.750,Synthetic example,Synthetic,,2026-07-09
900022,Synthetic Cover Crop Time Series,Cover Crop Rotation,Legume Grass Mix,Timepoint 1,Synthetic,SYN-OLD-0022,SYN-0022,SYN-02-04-01-0022,0,15,2026-02-20,Hawaii,Synthetic Kona Rotation Trial,Bare fallow replicate 1,SYN-KO-02,Cropland,1,Unmanaged/abandoned,10,,,,,,,CC-B1,100,Bare fallow,Synthetic baseline cover,None,0,,,,,,,,,Reduced,Annual,No,No,Drip,Living cover,Synthetic Kealakekua,19.505200,-155.919200,1320.0,22.1,Organic cropland,None,,Andisol,Hydrudand,Udand,LAC,Silty clay loam,3.340,225.000,79.000,31.100,46.400,6.390,476.000,54.300,27.800,0.495000,-0.130,0.515000,-0.140,0.480000,-0.110,0.465000,-0.400,0.516000,-0.090,0.534000,-0.060,0.504000,-0.070,0.491000,-0.320,1.170,46.400,1.180,2.200,0.230,28.300,6.700,20.800,38.000,12.150,21.400,4.550,Synthetic example,Synthetic,,2026-07-09
900023,Synthetic Cover Crop Time Series,Cover Crop Rotation,Legume Grass Mix,Timepoint 2,Synthetic,SYN-OLD-0023,SYN-0023,SYN-02-04-02-0023,0,15,2026-06-20,Hawaii,Synthetic Kona Rotation Trial,Bare fallow replicate 1,SYN-KO-02,Cropland,2,Unmanaged/abandoned,10,,,,,,,CC-B1,100,Bare fallow,Synthetic baseline cover,None,0,,,,,,,,,Reduced,Annual,No,No,Drip,Living cover,Synthetic Kealakekua,19.505200,-155.919200,1320.0,22.1,Organic cropland,None,,Andisol,Hydrudand,Udand,LAC,Silty clay loam,3.520,236.000,82.200,32.600,48.400,6.420,494.000,55.400,29.200,0.530000,-0.040,0.550000,-0.060,0.515000,-0.040,0.500000,-0.340,0.556000,0.010,0.574000,0.030,0.544000,0.010,0.531000,-0.250,1.160,47.600,1.220,2.280,0.240,29.400,7.000,21.600,39.200,12.100,21.600,4.700,Synthetic example,Synthetic,,2026-07-09
900024,Synthetic Cover Crop Time Series,Cover Crop Rotation,Legume Grass Mix,Timepoint 3,Synthetic,SYN-OLD-0024,SYN-0024,SYN-02-04-03-0024,0,15,2026-10-20,Hawaii,Synthetic Kona Rotation Trial,Bare fallow replicate 1,SYN-KO-02,Cropland,3,Unmanaged/abandoned,10,,,,,,,CC-B1,100,Bare fallow,Synthetic baseline cover,None,0,,,,,,,,,Reduced,Annual,No,No,Drip,Living cover,Synthetic Kealakekua,19.505200,-155.919200,1320.0,22.1,Organic cropland,None,,Andisol,Hydrudand,Udand,LAC,Silty clay loam,3.700,247.000,85.400,34.100,50.400,6.450,512.000,56.500,30.600,0.565000,0.050,0.585000,0.020,0.550000,0.030,0.535000,-0.280,0.596000,0.110,0.614000,0.120,0.584000,0.090,0.571000,-0.180,1.150,48.800,1.260,2.360,0.250,30.500,7.300,22.400,40.400,12.050,21.800,4.850,Synthetic example,Synthetic,,2026-07-09
900025,Synthetic Cover Crop Time Series,Cover Crop Rotation,Legume Grass Mix,Timepoint 1,Synthetic,SYN-OLD-0025,SYN-0025,SYN-02-05-01-0025,0,15,2026-02-20,Hawaii,Synthetic Kona Rotation Trial,Bare fallow replicate 2,SYN-KO-02,Cropland,1,Unmanaged/abandoned,10,,,,,,,CC-B2,100,Bare fallow,Synthetic baseline cover,None,0,,,,,,,,,Reduced,Annual,No,No,Drip,Living cover,Synthetic Kealakekua,19.506000,-155.920000,1320.0,22.1,Organic cropland,None,,Andisol,Hydrudand,Udand,LAC,Silty clay loam,3.430,231.000,80.700,32.000,47.500,6.430,488.000,55.100,28.400,0.510000,-0.100,0.530000,-0.120,0.495000,-0.090,0.480000,-0.380,0.530000,-0.060,0.548000,-0.040,0.518000,-0.050,0.505000,-0.300,1.185,47.200,1.240,2.280,0.235,29.100,6.900,21.300,38.700,12.250,21.600,4.650,Synthetic example,Synthetic,,2026-07-09
900026,Synthetic Cover Crop Time Series,Cover Crop Rotation,Legume Grass Mix,Timepoint 2,Synthetic,SYN-OLD-0026,SYN-0026,SYN-02-05-02-0026,0,15,2026-06-20,Hawaii,Synthetic Kona Rotation Trial,Bare fallow replicate 2,SYN-KO-02,Cropland,2,Unmanaged/abandoned,10,,,,,,,CC-B2,100,Bare fallow,Synthetic baseline cover,None,0,,,,,,,,,Reduced,Annual,No,No,Drip,Living cover,Synthetic Kealakekua,19.506000,-155.920000,1320.0,22.1,Organic cropland,None,,Andisol,Hydrudand,Udand,LAC,Silty clay loam,3.610,242.000,83.900,33.500,49.500,6.460,506.000,56.200,29.800,0.545000,-0.010,0.565000,-0.040,0.530000,-0.020,0.515000,-0.320,0.570000,0.040,0.588000,0.050,0.558000,0.030,0.545000,-0.230,1.175,48.400,1.280,2.360,0.245,30.200,7.200,22.100,39.900,12.200,21.800,4.800,Synthetic example,Synthetic,,2026-07-09
