,,,,,,,,,cm,,Month/day/year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,μg C/g soil,umol/g soil or nmol/g soil/hr,,ug NH4-N/g soil        ,Scale 0-14,μg C/g soil,%,,,,,,g/cc,%,,,%,ugN/g soil,,,μg N/g soil,Ratio,,ug NH4-N/g soil,,Status,Project links,Timestamp,,
916,CIG-2020,,,,Other,SH-WRS-59,2017-20,010-0303-2024-0367,0,15,08/29/2022,Puerto Rico,Synthetic Puerto Rico Site 449,,30.593,Cropland,1997-2024,Protected forest,1994-2013,Pasture,,,NA,,,YA control 3,1 acre,Forage,Orchard/tree crop,None,,,,,,,,,,None,,No,No,Surface Drip,,Humatas,20.814512,-156.085110,,,Unmanaged forest,PIAL,,,Calciargid,,PNCM,,2.5,102.814,43.38007703,14.30,66.36,5.13,701.3362527,76.48,27.06744399,#N/A,0.79,0.67,#N/A,0.43,,0.02,4.25,0.4,25.98,,#N/A,30.18,12.21,8.299464406,5.23,,,https://docs.google.com/spreadsheets/d/1GwyqgNpfRC3okTlhCzqqJyHaifJUn20q7L_JJRwf6fA/edit,,,10/15/2024
710,Magoon,Round 1,,,Own,2023-0173,2017-21,007-0022-2019-0203,0,15,06/19/2023,Big Island,Synthetic Big Island Site 059,,120,Cropland,,,,#N/A,,,,,,103,,Commercial veg/fruits,Commercial veg/fruits,Synthetic blend,,,10-20 tons/ac/yr,,0-250 lb/ac/yr,,,,,Roto,,Yes,No,None,Plastic Mulch,Kekaha,21.058154,-159.231417,,,Agroforestry,PIAL,Low,Mollisol,Gypitorrert,Ustept,HAC,,7.47,185.005,109.09,15.14,74.78,6.64,276.9,66.26,7.28,0.57,0.70,0.96,0.21,0.91,,#N/A,#N/A,1.19,11.78,63.58494983,0.6737611416,,13.18181818,#N/A,,,Done,,6.9,scoring_function_noPIALv2,10/15/2024
1133,CIG-2020,WSARE-2026,,,,2023-0034,2017-22,012-0109-2022-0208,0,15,09/15/2022,Big Island,Synthetic Big Island Site 232,,372.45,Unmanaged/abandoned ag land,Agroforestry,Cropland (corn),1994-2013,Pasture,1904-1994,,,,,,0.1,Commercial veg/fruits,,,,,,,#VALUE!,,,,,Disc,More than twice,No,Yes,None,Weeds,Makiki,20.931409,-159.578619,,,,None,High,Oxisol,Eutrotorrox,,HAC,,1.37,148.11,38.34,55.51,75.79,8.55,247.69,89.51,,0.78,0.90,0.80,0.02,1.08,61.52,,0.25,0.33,#N/A,81.6890292,#N/A,23.41,10.08,13.24,59.33,,,https://docs.google.com/spreadsheets/d/1kM4T-4vxg8TwhkLu4saUhof40IarnAsI-Zo0hsNQQxQ/edit#gid=900287837,7/10/2024,0.15,
37,SSH,Round 1,,,,2022-0132,2017-23,011-0011-2024-0019,0,15,6/29/2022,Kauai,Synthetic Kauai Site 744,,31,Cropland,Unmanaged forest,Managed forest,1850-1950,,,Unmanaged/abandoned,,,,Ground Cover + Compost 5,,Weeds/Unmanaged,Unmanaged forest,Bone/blood meal,250-500 lb/ac/yr,,,,,,,,,None,,No,No,None,Weed Mat,Kaipoioi,22.140740,-159.421854,,,Conventional cropland,None,,Oxisol,Hydrudand,Ustoll,LAC,,4.7,68.862,84.98,62.61,27.34,6.23,190.97,97.91,4.83,#N/A,#N/A,0.03,0.54,,17.54,2.56,0.50,0.17,,,#N/A,84.53,9.68,11.10995818,13.43,,Done,https://docs.google.com/spreadsheets/d/1kM4T-4vxg8TwhkLu4saUhof40IarnAsI-Zo0hsNQQxQ/edit#gid=1076234646,8,0.6,
1085,HARC,,,,Own,2022-0119,2017-24,024-0234-2023-0451,0,15,6/20/19,Big Island,Synthetic Big Island Site 925,,66,Pasture,2022-2024,Cropland,2006-2011,,#N/A,,,,,P3-control,3.5,Agroforestry,Protected forest,Manures,n/a,,,,,,,,,,,No,,Surface Drip,"Mulch (woodchip, leaf litter, other organic material)",Makiki,21.483355,-158.888872,,,Unmanaged forest,PIAL,,Ultisol,,,HAC,,,248.41,12.40,4.78,72.08,6.83,860.75,93.12,6.77,0.55,0.91,0.73,0.87,1.22,,0.41,,0.18,41.68,#N/A,9.69,140.62,12.57777778,#N/A,1.99,,Done,#N/A,5.7,0.24,10/15/2024
1642,ORCD,Baseline,,,Lease,2023-0063,2017-25,011-0082-2023-0290,0,15,10/12/2023,Kauai,Synthetic Kauai Site 382,,10 acres,Pasture,Agroforestry,Pasture,,,,Cropland,,,,38,,Commercial veg/fruits,Commercial veg/fruits,,,,,,,,,,,None,,Yes,Yes,Surface Drip,,Puna,22.202345,-159.445219,,,Mixed,None,,Histosol,,Folists,LAC,,,186.72,,14.42,302.33,5.49,1419,62.97,5.37,0.96,,0.03,0.49,0.64,,,0.00,0.10,#N/A,#N/A,#N/A,52.81,19.57446809,#N/A,6.28,,Done,,3/9/2022,0.18,
,Kākoʻo ʻŌiwi,,,,Other,2024-0345,2017-26,016-0068-2022-0046,0,15,12/08/2023,Oahu,Synthetic Oahu Site 997,,5,Orchard,,Unmanaged/abandoned ag land,#N/A,#N/A,,,,,,Plot 9 compost 4,0.044,Weeds/Unmanaged,Sakau,Synthetic blend,0-250 lb/ac/yr,,,,,,,,,Spader,,Yes,Yes,Surface Drip,Bare soil,Waialua,21.732378,-158.121414,,,,PIAL,,Entisol,Gypitorrert,Torrert,LAC,,2.26,16.510,47.30,37.83,,7.83,523.95,71.59,2.362940041,0.21,,0.66,0.49,#N/A,,#N/A,1.50,0.66,#N/A,#N/A,,39.19,11.45714286,#N/A,21.34,,,https://docs.google.com/spreadsheets/d/1mbsSvGN-fV4Rjyqmd69ggP6rynjHo791QXFY_TbftcA/edit?usp=sharing,3/9/2022,scoring_function_noPIALv2,10/15/2024
86,HARC,,,,Other,304,2017-27,024-0239-2023-0455,0,15,2025-05-16 00:00:00,Puerto Rico,Synthetic Puerto Rico Site 615,,23,Cropland,100 yr+,Unmanaged forest,#N/A,#N/A,,,,,,Plot A Cam+Cam 2,,Commercial veg/fruits,Forage | Nothing/bare fallow | Shrub | Unmanaged forest,None,,,,,#VALUE!,,,,,None,More than twice,No,Yes,Sprinkle,Bare soil,Lualualei,19.814070,-154.767680,,,Pasture,PIAL,,Oxisol,Gypitorrert,Torrert,HAC,,1.31,,46.1,5.21,17.25,,387,114.56,27.43,0.84,0.05,0.22,,0.63,2.79,,,0.12,44.69,,#DIV/0!,46,11.18604651,9.61,39.67,,Done,https://docs.google.com/spreadsheets/d/1GwyqgNpfRC3okTlhCzqqJyHaifJUn20q7L_JJRwf6fA/edit,3/9/2022,0.89,#N/A
,CIG-2020,Round 1,,,Own,2024-0389,2017-28,017-0136-2023-0121,0,15,3/12/2025,Oahu,Synthetic Oahu Site 518,,5.06,Unmanaged forest,20,Orchard,,#N/A,,,,,,133,5,,No change,None,5 oz/plant 2-3x/year,,,,,,,,#VALUE!,Disc,,No,Yes,Sprinkle,Bare soil,Pulehu,21.580701,-158.175890,,,Conventional cropland,None,,Mollisol,Hydrudand,Humult,LAC,,1.23,127.36,64.03,22.37,241.69,6.27,385.87,,0.00,0.15,0.95,0.29,0.82,,,0.11,#N/A,0.28,#N/A,,#N/A,23.52,13.71,5.839532808,11.5,,Done,https://docs.google.com/spreadsheets/d/1mlqU9zH13GHF_afZSs_ju9Wjtxa9TrjZFf9XEAViy30/edit#gid=1076234647,7/10/2024,scoring_function_noPIALv2,10/15/2024
1865,Kākoʻo ʻŌiwi,,,,Other,279,2017-29,023-0278-2024-0031,0,15,3/8/18,Oahu,Synthetic Oahu Site 089,,92,Cropland,2022-2024,Protected forest,#N/A,Pasture,1950-1975,,,,,P5-Control,,cabbage,Protected forest,Natural farming practices,"1,000 lb/ac/yr - 1 ton/ac/yr",,#VALUE!,,,,,,,None,Twice yearly,Yes,No,None,Bare soil,Waialua,21.668148,-157.842033,,,Pasture,PIAL,,Vertisol,,Ustox,HAC,,,38.477,286.0915883,13.39,1.21,7.48,600.67,57.65,23.6,,,0.04,0.02,#N/A,,1.77,#N/A,0.31,#N/A,,#N/A,127.2914256,9.222222222,19.04,21.58,,Done,13.38,,scoring_function_noPIALv2,10/15/2024
1952,CIG-2020,,,,Own,2021-0688,2017-30,008-0023-2020-0368,0,20,11-21-20,Puerto Rico,Synthetic Puerto Rico Site 978,,2,Orchard,Agroforestry,,#N/A,#N/A,,,,,,,53.75,,,,250-500 lb/ac/yr,,,,,,,,,Disc,Other,Yes,No,Surface Drip,,,20.886301,-159.940784,,,Does not apply,None,,Oxisol,Haplustox,Ustox,HAC,,1.28,,30.95,68.53,152.31,4.91,1409.73,57.84,4.82,,#N/A,0.70,0.40,,78.57574094,1.29,,0.4,#N/A,#N/A,,22.99,9.945945946,#N/A,5.04,,,https://docs.google.com/spreadsheets/d/1mbsSvGN-fV4Rjyqmd69ggP6rynjHo791QXFY_TbftcA/edit?usp=sharing,3/9/2022,,#N/A
1107,Mark Thorne,Round 2,,,,2023-0052,2017-31,008-0204-2023-0318,0,15,6/20/2024,Oahu,Synthetic Oahu Site 376,,23,Agroforestry,1400-present,,1950-2014,,,,,,,Kaiwi Farm Mulch 1,,Agroforestry,Commercial veg/fruits,Manures,,,,,,,,,,None,,No,Yes,None,,Lualualei,21.725795,-158.283555,,,,None,,Oxisol,Haplustoll,Ustept,LAC,,2.26,56.146,38.58162767,31.37,106.38,6.1,303.08,61.53,0.73,#N/A,#N/A,,0.40,0.78,,#N/A,#N/A,0.39,186.79,#N/A,23.42,215.59,11.25,,13.81,,Done,,,scoring_function_noPIALv2,10/15/2024
,Department of Health,,,,,38,2017-32,011-0048-2023-0270,0,20,11/4/2020,Oahu,Synthetic Oahu Site 765,,,Managed forest,Unknown,Pineapple or sugarcane plantation,,Unmanaged/abandoned ag land,#N/A,,,,,Palani Ranch Plot 1 Sample 5,38.849,Cover crop/legumes,Commercial veg/fruits,Synthetic blend,,,0-250 lb/ac/yr,,,,,,,,More than twice,No,No,Other,,La Luna,21.340304,-157.817300,,,Conventional cropland,,,Oxisol,Haplustoll,Ustoll,HAC,,11.32,18.046,18.43,15.2,124.35,4.82,1452.11,68.17,,0.49,0.80,0.87,#N/A,,#N/A,#N/A,#N/A,0.22,178.76,#N/A,,32.05,,,-0.86,,,42.81,3/9/2022,0.9,
842,CIG-2020,Round 2,,,,2022-0025,2017-33,001-0004-2017-0023,0,15,6/3/2019,Big Island,Synthetic Big Island Site 627,,6,Pasture,2019-curent,No Change,,,#N/A,,,,,HT87 Control 1,.023 acres,Orchard/tree crop,Commercial veg/fruits,None,"1,000 lb/ac/yr - 1 ton/ac/yr",,,,,,,,,Disc,More than twice,,No,None,,Lualualei,19.418082,-158.869165,,,Pasture,PIAL,,Vertisol,,Ustoll,PNCM,,3.46,19.707,101.58,14.01,98.86,,2854,76.45,12.40,0.58,0.82,,0.68,0.96,50.63436,,#N/A,0.40,23.70228222,68.4352075,#N/A,196,8.4,36.12116485,18.98,,Done,https://docs.google.com/spreadsheets/d/1Np0Y3iAEhm6-GNKOSwj9RX2QTLV2pPRinpDexcJ18vM/edit#gid=1076234667,7.6,scoring_function_noPIALv2,
